Country Name,"Country Code","Series Name","Series Code","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Chile,"CHL","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.7087902931288","22.6366699629063","24.203078424347","24.9390098912825","21.0582071011998","24.1061176490995","25.7984190064455","23.3620550113744","23.2396642941548",".."
Chile,"CHL","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","20.8570992768314","21.1680432193512","22.1740306152333","21.7399271490262","19.9382667497687","24.1674095491198","26.0812426560484","22.9465317526296","..",".."
Chile,"CHL","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","126.850899539002","128.905998200165","134.165138308804","143.51692083204","147.274957174506","127.27273582922","132.90369411133","130.098317512696","126.525856382327",".."
Chile,"CHL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","17.4689644166374","17.5057946834574","18.3955244968596","17.7188527701523","16.1961693313326","19.6762203580828","21.3364673205925","17.7194011337982","..",".."
Chile,"CHL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.92415844717468","1.94059250989466","1.87761395069212","1.86471710953666","2.06553058219768","1.6474241515743","1.54099069337002","1.63026388670906","1.57780388625485",".."
Chile,"CHL","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","127.565","124.001","133.27","130.493","129.414","136.572","135.114","135.871","..",".."
Chile,"CHL","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","8.42437955941115","7.1060964752424","6.91141099413123","7.63288202076965","15.9750583433893","12.4417748590856","6.93672684116693","10.7195633423709","8.31650307450688",".."
Chile,"CHL","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","48.16381541128","48.5427963375166","50.5145105937982","49.8226533030541","52.444051161518","59.3018871077669","67.4469042565795","53.1184530380403","55.538374619944",".."
Chile,"CHL","Net barter terms of trade index (2015 = 100)","TT.PRI.MRCH.XD.WD","103.8","114.3","111.3","109.4","121.8","136.8","125","129.7","..",".."
Chile,"CHL","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","..","..","..","..","..","..","..","..","..",".."
Chile,"CHL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","..","..","..","..","..","..","..","..","..",".."
Chile,"CHL","Net migration","SM.POP.NETM","135864","220621","237807","181339","26042","65480","59374","62679","58316","51712"
Chile,"CHL","Personal remittances, received (current US$)","BX.TRF.PWKR.CD.DT","64551112.6635094","66541753.587694","69856849.7873431","69372771.3618018","66197477.5911306","66484972.9580665","85172251.1999996","97067400.4999996","100140399.599999",".."
Chile,"CHL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","11362832162.4891","5237183518.21249","7942631935.04913","13579090978.7595","11447397288.6176","15176902318.5544","18771990469.19","18377361861.8","12521388616.3117",".."
Chile,"CHL","Net official development assistance and official aid received (current US$)","DT.ODA.ALLD.CD","178439346.313477","70305366.5161133","..","..","..","..","..","..","..",".."
China,"CHN","Population, total","SP.POP.TOTL","1387790000","1396215000","1402760000","1407745000","1411100000","1412360000","1412175000","1410710000","1408975000",".."
China,"CHN","Population growth (annual %)","SP.POP.GROW","0.573050906069647","0.605245013482969","0.467672053461959","0.354740890170827","0.238040870229883","0.0892522000412526","-0.0130995013525784","-0.103794531589067","-0.123063407363995",".."
China,"CHN","Surface area (sq. km)","AG.SRF.TOTL.K2","9562910","9562910","9562910","9562910","9562910","9562910","9562910","9562910","..",".."
China,"CHN","Population density (people per sq. km of land area)","EN.POP.DNST","147.822641376791","148.720043543977","149.417194545073","149.948179684945","150.305542803154","150.439753691066","150.42004812419","150.264001337848","..",".."
China,"CHN","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","4.5","3.1","1.7","0.6","0","..","..","..","..",".."
China,"CHN","Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","SI.POV.DDAY","2.2","1.7","0.8","0","0","0","0","..","..",".."
